;x;y;z;t
393;135;165;102.0102607;26.35578918
394;131;162;106.4804176;26.43607974
395;129;159;103.6557493;26.52396107
396;127;154;103.6557493;26.6128912
397;129;150;106.255108;26.6849494
398;133;146;107.0498581;26.76545739
399;138;143;106.255108;26.84493184
400;145;139;105.9197415;26.92574859
401;154;137;106.4804176;27.00715852
402;170;137;104.0232671;27.09493041
403;175;138;104.5683558;27.15929127
404;176;140;103.2661619;27.23266983
405;176;139;102.7278612;27.30569959
406;175;141;102.7278612;27.37907314
407;171;143;102.7278612;27.43590093
408;164;146;104.5683558;27.49250007
409;155;148;102.7278612;27.5493505
410;144;150;102.7278612;27.61647487
411;132;152;104.8238046;27.68756914
412;118;153;101.6754207;27.7601645
413;106;156;104.2881238;27.84845042
414;87;157;104.2881238;27.92237186
415;80;158;104.2881238;28.01836228
416;75;158;106.7640282;28.0826478
417;72;157;103.4864014;28.14698768
418;72;157;104.8238046;28.20410681
419;71;156;104.8238046;28.26505113
420;72;156;105.6702374;28.34300971
421;72;156;105.1354862;28.4152832
422;74;156;103.2403414;28.48771334
423;74;156;101.923141;28.56784725
424;75;157;103.7603669;28.64041924
425;76;158;103.2403414;28.69778299
426;77;159;102.7278612;28.76281834
427;79;161;103.2403414;28.83594322
428;80;162;102.7278612;28.90087438
429;83;165;101.923141;28.93298483
430;87;169;101.4171994;28.97505736
431;86;168;101.4171994;29.02150488
432;95;175;100.154247;29.06200409
433;105;181;93.99968513;29.10274673
434;118;191;92.52328675;29.15941906
435;139;204;94.59382947;29.19960523
436;162;219;92.97616982;29.2814548
437;190;232;88.79266161;29.36262345
438;297;286;87.99749315;29.56481004
439;321;295;84.34786035;29.62173486
440;353;306;78.54157344;29.67757463
441;383;317;76.12460676;29.74185014
442;410;330;74.91395146;29.80586791
443;414;330;75.46567342;29.87021351
444;441;339;73.44116101;29.9440558
445;461;349;76.18824297;30.01864028
446;479;356;77.83711793;30.09084415
447;497;364;78.71623688;30.1632247
448;511;370;79.77037894;30.22987294
449;529;380;83.31579983;30.28680158
450;534;383;86.08584783;30.35875607
451;539;386;89.28671457;30.44015026
452;543;388;90.61511409;30.51319766
453;546;389;91.50021475;30.58600688
454;547;389;91.98456246;30.64373112
455;548;389;92.90023925;30.7072227
456;549;389;91.50021475;30.77523851
457;549;389;91.92935422;30.85300827
458;549;387;92.41107002;30.91210318
459;548;385;92.41107002;30.99258995
460;547;383;91.02324701;31.05820155
461;541;373;88.4540056;31.13798833
462;536;368;86.74569392;31.20255041
463;530;361;85.2039037;31.28348351
464;521;351;83.19881273;31.3429234
465;512;341;80.79114135;31.40655708
466;501;330;77.95608379;31.48728704
467;485;315;76.3854378;31.56091094
468;469;301;74.65247944;31.62686753
469;451;284;71.95090992;31.69895577
470;450;288;73.10011479;31.76392269
471;408;306;87.69161077;31.82160258
472;396;239;75.20877489;31.89667869
473;291;229;100.991058;32.07949781
474;104;68;87.07336285;32.22586656
475;28;41;81.92316149;32.37564826
476;5;41;113.2813378;32.43266249
477;5;41;127.2194729;32.48885512
